
iteration,x,y,theta
463,-1076.853638,-718.397095,-4.514883
464,-1076.853638,-718.397095,-4.514883
465,-1076.853638,-718.397095,-4.514883
466,-1076.853638,-718.397095,-4.514883
467,-1076.853638,-718.397095,-4.514883
468,-1076.853638,-718.397095,-4.514883
469,-1076.853638,-718.397095,-4.514883
470,-1076.853638,-718.397095,-4.514883
471,-1076.853638,-718.397095,-4.514883
472,-1076.853638,-718.397095,-4.514883
473,-1076.853638,-718.397095,-4.514883
474,-1076.853638,-718.397095,-4.514883
475,-1076.853638,-718.397095,-4.514883
476,-1076.853638,-718.397095,-4.514883
477,-1076.853638,-718.397095,-4.514883
478,-1076.853638,-718.397095,-4.514883
479,-1076.853638,-718.397095,-4.514883
480,-1076.853638,-718.397095,-4.514883
481,-1076.853638,-718.397095,-4.514883
482,-1076.853638,-718.397095,-4.514883
483,-1076.853638,-718.397095,-4.514883
484,-1076.853638,-718.397095,-4.514883
485,-1076.853638,-718.397095,-4.514883
486,-1076.853638,-718.397095,-4.514883
487,-1076.853638,-718.397095,-4.514883
488,-1076.853638,-718.397095,-4.514883
489,-1076.853638,-718.397095,-4.514883
490,-1076.853638,-718.397095,-4.514883
491,-1076.853638,-718.397095,-4.514883
492,-1076.853638,-718.397095,-4.514883
493,-1076.853638,-718.397095,-4.514883
494,-1076.853638,-718.397095,-4.514883
495,-1076.853638,-718.397095,-4.514883
496,-1076.853638,-718.397095,-4.514883
497,-1076.853638,-718.397095,-4.514883
498,-1076.853638,-718.397095,-4.514883
499,-1076.853638,-718.397095,-4.514883
500,-1076.853638,-718.397095,-4.514883
501,-1076.853638,-718.397095,-4.514883
502,-1076.853638,-718.397095,-4.514883
503,-1076.853638,-718.397095,-4.514883
504,-1076.853638,-718.397095,-4.514883
505,-1076.853638,-718.397095,-4.514883
506,-1076.853638,-718.397095,-4.514883
507,-1076.853638,-718.397095,-4.514883
508,-1076.853638,-718.397095,-4.514883
509,-1076.853638,-718.397095,-4.514883
510,-1076.853638,-718.397095,-4.514883
511,-1076.853638,-718.397095,-4.514883
512,-1076.853638,-718.397095,-4.514883
513,-1076.853638,-718.397095,-4.514883
514,-1076.853638,-718.397095,-4.514883
515,-1076.853638,-718.397095,-4.514883
516,-1076.853638,-718.397095,-4.514883
517,-1076.853638,-718.397095,-4.514883
518,-1076.853638,-718.397095,-4.514883
519,-1076.853638,-718.397095,-4.514883
520,-1076.853638,-718.397095,-4.514883
521,-1076.853638,-718.397095,-4.514883
522,-1076.853638,-718.397095,-4.514883
523,-1076.853638,-718.397095,-4.514883
524,-1076.853638,-718.397095,-4.514883
525,-1076.853638,-718.397095,-4.514883
526,-1076.853638,-718.397095,-4.514883
527,-1076.853638,-718.397095,-4.514883
528,-1076.853638,-718.397095,-4.514883
529,-1076.853638,-718.397095,-4.514883
530,-1076.853638,-718.397095,-4.514883
531,-1076.853638,-718.397095,-4.514883
532,-1076.853638,-718.397095,-4.514883
533,-1076.853638,-718.397095,-4.514883
534,-1076.853638,-718.397095,-4.514883
535,-1076.853638,-718.397095,-4.514883
536,-1076.853638,-718.397095,-4.514883
537,-1076.853638,-718.397095,-4.514883
538,-1076.853638,-718.397095,-4.514883
539,-1076.853638,-718.397095,-4.514883
540,-1076.853638,-718.397095,-4.514883
541,-1076.853638,-718.397095,-4.514883
542,-1076.853638,-718.397095,-4.514883
543,-1076.853638,-718.397095,-4.514883
544,-1076.853638,-718.397095,-4.514883
545,-1076.853638,-718.397095,-4.514883
546,-1076.853638,-718.397095,-4.514883
547,-1076.853638,-718.397095,-4.514883
548,-1076.853638,-718.397095,-4.514883
549,-1076.853638,-718.397095,-4.514883
550,-1076.853638,-718.397095,-4.514883
551,-1076.853638,-718.397095,-4.514883
552,-1076.853638,-718.397095,-4.514883
553,-1076.853638,-718.397095,-4.514883
554,-1076.853638,-718.397095,-4.514883
555,-1076.853638,-718.397095,-4.514883
556,-1076.853638,-718.397095,-4.514883
557,-1076.853638,-718.397095,-4.514883
558,-1076.853638,-718.397095,-4.514883
