
iteration,x,y,theta
557,2288.014648,-225.932343,8.313945
558,2288.014648,-225.932343,8.313945
559,2288.014648,-225.932343,8.313945
560,2288.014648,-225.932343,8.313945
561,2288.014648,-225.932343,8.313945
562,2288.014648,-225.932343,8.313945
563,2288.014648,-225.932343,8.313945
564,2288.014648,-225.932343,8.313945
565,2288.014648,-225.932343,8.313945
566,2288.014648,-225.932343,8.313945
567,2288.014648,-225.932343,8.313945
568,2288.014648,-225.932343,8.313945
569,2288.014648,-225.932343,8.313945
570,2288.014648,-225.932343,8.313945
571,2288.014648,-225.932343,8.313945
572,2288.014648,-225.932343,8.313945
573,2288.014648,-225.932343,8.313945
574,2288.014648,-225.932343,8.313945
575,2288.014648,-225.932343,8.313945
576,2288.014648,-225.932343,8.313945
577,2288.014648,-225.932343,8.313945
578,2288.014648,-225.932343,8.313945
579,2288.014648,-225.932343,8.313945
580,2288.014648,-225.932343,8.313945
581,2288.014648,-225.932343,8.313945
582,2288.014648,-225.932343,8.313945
583,2288.014648,-225.932343,8.313945
584,2288.014648,-225.932343,8.313945
585,2288.014648,-225.932343,8.313945
586,2288.014648,-225.932343,8.313945
587,2288.014648,-225.932343,8.313945
588,2288.014648,-225.932343,8.313945
589,2288.014648,-225.932343,8.313945
590,2288.014648,-225.932343,8.313945
591,2288.014648,-225.932343,8.313945
592,2288.014648,-225.932343,8.313945
593,2288.014648,-225.932343,8.313945
594,2288.014648,-225.932343,8.313945
595,2288.014648,-225.932343,8.313945
596,2288.014648,-225.932343,8.313945
597,2288.014648,-225.932343,8.313945
598,2288.014648,-225.932343,8.313945
599,2288.014648,-225.932343,8.313945
600,2288.014648,-225.932343,8.313945
601,2288.014648,-225.932343,8.313945
602,2288.014648,-225.932343,8.313945
603,2288.014648,-225.932343,8.313945
604,2288.014648,-225.932343,8.313945
605,2288.014648,-225.932343,8.313945
606,2288.014648,-225.932343,8.313945
607,2288.014648,-225.932343,8.313945
608,2288.014648,-225.932343,8.313945
609,2288.014648,-225.932343,8.313945
610,2288.014648,-225.932343,8.313945
611,2288.014648,-225.932343,8.313945
612,2288.014648,-225.932343,8.313945
613,2288.014648,-225.932343,8.313945
614,2288.014648,-225.932343,8.313945
615,2288.014648,-225.932343,8.313945
616,2288.014648,-225.932343,8.313945
617,2288.014648,-225.932343,8.313945
618,2288.014648,-225.932343,8.313945
619,2288.014648,-225.932343,8.313945
620,2288.014648,-225.932343,8.313945
621,2288.014648,-225.932343,8.313945
622,2288.014648,-225.932343,8.313945
623,2288.014648,-225.932343,8.313945
624,2288.014648,-225.932343,8.313945
625,2288.014648,-225.932343,8.313945
626,2288.014648,-225.932343,8.313945
627,2288.014648,-225.932343,8.313945
628,2288.014648,-225.932343,8.313945
629,2288.014648,-225.932343,8.313945
630,2288.014648,-225.932343,8.313945
631,2288.014648,-225.932343,8.313945
632,2288.014648,-225.932343,8.313945
633,2288.014648,-225.932343,8.313945
634,2288.014648,-225.932343,8.313945
635,2288.014648,-225.932343,8.313945
636,2288.014648,-225.932343,8.313945
637,2288.014648,-225.932343,8.313945
638,2288.014648,-225.932343,8.313945
639,2288.014648,-225.932343,8.313945
640,2288.014648,-225.932343,8.313945
641,2288.014648,-225.932343,8.313945
642,2288.014648,-225.932343,8.313945
643,2288.014648,-225.932343,8.313945
644,2288.014648,-225.932343,8.313945
645,2288.014648,-225.932343,8.313945
646,2288.014648,-225.932343,8.313945
647,2288.014648,-225.932343,8.313945
648,2288.014648,-225.932343,8.313945
649,2288.014648,-225.932343,8.313945
650,2288.014648,-225.932343,8.313945
651,2288.014648,-225.932343,8.313945
652,2288.014648,-225.932343,8.313945
653,2288.014648,-225.932343,8.313945
654,2288.014648,-225.932343,8.313945
655,2288.014648,-225.932343,8.313945
656,2288.014648,-225.932343,8.313945
657,2288.014648,-225.932343,8.313945
658,2288.014648,-225.932343,8.313945
659,2288.014648,-225.932343,8.313945
660,2288.014648,-225.932343,8.313945
661,2288.014648,-225.932343,8.313945
662,2288.014648,-225.932343,8.313945
663,2288.014648,-225.932343,8.313945
664,2288.014648,-225.932343,8.313945
665,2288.014648,-225.932343,8.313945
666,2288.014648,-225.932343,8.313945
667,2288.014648,-225.932343,8.313945
668,2288.014648,-225.932343,8.313945
669,2288.014648,-225.932343,8.313945
670,2288.014648,-225.932343,8.313945
671,2288.014648,-225.932343,8.313945
672,2288.014648,-225.932343,8.313945
673,2288.014648,-225.932343,8.313945
674,2288.014648,-225.932343,8.313945
675,2288.014648,-225.932343,8.313945
676,2288.014648,-225.932343,8.313945
677,2288.014648,-225.932343,8.313945
678,2288.014648,-225.932343,8.313945
679,2288.014648,-225.932343,8.313945
680,2288.014648,-225.932343,8.313945
681,2288.014648,-225.932343,8.313945
682,2288.014648,-225.932343,8.313945
683,2288.014648,-225.932343,8.313945
684,2288.014648,-225.932343,8.313945
685,2288.014648,-225.932343,8.313945
686,2288.014648,-225.932343,8.313945
687,2288.014648,-225.932343,8.313945
688,2288.014648,-225.932343,8.313945
689,2288.014648,-225.932343,8.313945
690,2288.014648,-225.932343,8.313945
691,2288.014648,-225.932343,8.313945
692,2288.014648,-225.932343,8.313945
693,2288.014648,-225.932343,8.313945
694,2288.014648,-225.932343,8.313945
695,2288.014648,-225.932343,8.313945
